chr	start	end	gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	new_fdr
chr1	151510510	151538692	CGN	150.279838004599	-5.42305188136665	0.704868621622129	-7.69370591201303	1.4293338000762e-14	9.00480294048009e-12	2.9358516253565146e-11
chr1	235975830	236065109	NID1	75.0549036995123	10.6185418289303	1.62261804169727	6.5440797255177	5.98628576238611e-11	1.2571200101010801e-08	4.098610318647024e-08
chr1	120419850	120467739	NBPF8	48.9955272994901	5.030940812340611	0.7656958477898821	6.570416735133151	5.01746355906072e-11	1.2571200101010801e-08	4.098610318647024e-08
chr1	149054027	149103561	NBPF9	90.9378476832601	-3.28960104220667	0.569307772978809	-5.77824719482465	7.54828535234141e-09	9.51083954395017e-07	3.876044528427314e-06
chr1	17205128	17246007	PADI1	160.51008322521798	3.41945280001649	0.6251202104268331	5.4700723844485495	4.49851815795216e-08	4.72344406584977e-06	1.8479912592867473e-05
chr1	109309568	109397918	SORT1	64.3761894468223	8.904354344900359	1.64892697095931	5.400090180901099	6.66074054134075e-08	5.994666487206671e-06	2.2801935119856502e-05
chr1	25242249	25338213	RSRP1	115.227557467476	8.09054905241206	1.52547207413156	5.30363629043682	1.1351837911352901e-07	8.93957235519044e-06	3.3309535814169796e-05
chr1	2508537	2526597	PANK4	30.484485860914802	-8.17536249078357	1.60272074764528	-5.1009275962733	3.3799285328201104e-07	2.3659499729740802e-05	8.677966508015633e-05
chr1	222712553	222735196	BROX	29.0725929205287	-6.34543750666049	1.25947918065859	-5.0381440234227695	4.70067686362452e-07	2.9614264240834398e-05	0.00010727989197649737
chr1	148102047	148152322	NBPF11	25.4613885576997	4.3565693653607	0.8816342237746211	4.94147033756076	7.753561389864391e-07	4.44067606874051e-05	0.00015925815094781456
chr1	149175748	149259987	ENSG00000274265	26.606899523965996	-7.63989837100733	1.6265494617949199	-4.6969972635056605	2.64013987252134e-06	0.00013860734330736998	0.0004929861180144393
chr1	28236109	28246906	ATP5IF1	46.231400799762	-7.402184151590741	1.63069380408792	-4.539285139266791	5.64452638447464e-06	0.000273542432478386	0.0009661547661425759
chr1	16754910	16770237	MST1L	15.183743236965102	-7.40931961383256	1.68607794709921	-4.39441108080431	1.11073455790456e-05	0.0004998305510570519	0.0017549606014892049
chr1	155320894	155331114	RUSC1	31.3079334483437	-7.056021221879849	1.6232538709328503	-4.34683776101202	1.3811430044205401e-05	0.000580080061856626	0.002026334093628421
chr1	111117163	111140203	DRAM2	31.555808316854897	-4.37272219555266	1.11213169184942	-3.93183849322831	8.42986944856838e-05	0.0033192610953738	0.011543301231572968
chr1	148808181	149048286	PDE4DIP	14.1809382504822	-6.50125844774254	1.66552238923956	-3.9034350362055803	9.483701424963209e-05	0.00351454817513343	0.012174701704296518
chr1	48295373	48472208	SPATA6	33.2761183972626	2.69044163137127	0.744509124810042	3.61371209796484	0.000301844219630224	0.00957918679099917	0.034701322167041124
chr1	224896262	225399292	DNAH14	24.6631945670358	-5.737535141596579	1.5885611340105101	-3.6117811387664402	0.00030410116796822796	0.00957918679099917	0.034701322167041124
chr1	35032172	35115859	ZMYM1	32.3654953485461	2.71846321691812	0.7587552350578008	3.5827933585341603	0.000339939517281843	0.0101981855184553	0.036749250973521344
