chr	start	end	gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	new_fdr
chr6	291630	351355	DUSP22	43.2762284912684	-9.5667203523457	1.5682801026667	-6.1001350052701	1.0597891576606e-09	2.46930873734921e-06	1.0364737961920666e-06
chr6	46997708	47042350	ADGRF1	173.922267898979	-3.2837954958946605	0.57237793182085	-5.73711059308007	9.630537498103249e-09	1.1219576185290302e-05	4.7093328365724885e-06
chr6	53794497	53924125	LRRC1	21.084575204011	5.52183570365363	1.09225579084411	5.055441911996	4.29395312912496e-07	0.00033349702636203797	0.0001399828720094737
chr6	169751622	169781600	ERMARD	18.2260611169581	-7.91294354807354	1.6384283094551102	-4.8295940093376	1.36811711201223e-06	0.000796928217747125	0.0003345046338869902
chr6	41934934	42050357	CCND3	19.435308318212602	5.57847598406442	1.2531127473252601	4.45169518542651	8.51950437601152e-06	0.0039700890392213705	0.0016664150559478532
chr6	84421028	84556152	LINC01611	16.8649510348476	-6.37894685720357	1.6222603084331102	-3.9321351968259597	8.419468965391221e-05	0.0326956044822692	0.01372373441358769
chr6	21593751	21598619	SOX4	17.829916139493502	6.14199799087176	1.6287063683611298	3.7710898110210604	0.000162536158173275	0.0541013212205331	0.02270862324192328
chr6	53739266	53794904	ENSG00000227885	5.09901685782517	6.373988479305461	1.93677925073122	3.2910247654186704	0.000998231247605164	0.29073485086500395	0.1220337700197313
chr6	25962802	25991231	TRIM38	16.7408805311969	-2.74260342815952	0.848125119200267	-3.23372503192175	0.00122187033431984	0.31632865321836	0.1327765763294226
chr6	93240020	93419687	EPHA7	26.4345339265764	5.161256903427531	1.68949892322359	3.0549039318591498	0.00225132623338633	0.5245590123790139	0.22017970562518305
chr6	143494812	143511720	FUCA2	0.282938690989867	0.0	4.9975798104491	0.0	1.0	1.0	1.0
chr6	53497341	53616970	GCLC	21.752553425834698	0.336716724875749	0.734647931744746	0.45833753873922495	0.646709958749203	1.0	1.0
chr6	41072974	41102403	NFYA	2.53103944038387	-0.14273184360246696	1.8427863550930101	-0.0774543631756289	0.938262095068448	1.0	1.0
chr6	46129989	46146688	ENPP4	91.5583777738214	-0.83349107780826	0.6796630216407239	-1.2263298888855099	0.220074558076815	1.0	1.0
chr6	82169986	82247754	IBTK	328.720677215882	-0.320017095549797	0.51682916099237	-0.6191931874264379	0.5357890992739179	1.0	1.0
chr6	35473597	35497079	TEAD3	62.5161629303051	-0.0332206956537461	0.6191488694599859	-0.0536554248782217	0.9572096974040429	1.0	1.0
chr6	16129086	16148248	MYLIP	52.31297131372	-0.492345245306073	0.623464252347228	-0.7896928227279809	0.4297071839418	1.0	1.0
chr6	170535120	170553307	PSMB1	96.4569635125651	0.0785439733197336	0.533790856231776	0.14714372193297598	0.8830185803284591	1.0	1.0
chr6	15246069	15522042	JARID2	65.73859878492691	-0.19952686886693602	0.7951485449718679	-0.25093030746097306	0.801867991926065	1.0	1.0
chr6	111299028	111483715	REV3L	4.43743841902159	-0.25671565230643695	1.3075680701974	-0.19633062182964	0.8443513950119491	1.0	1.0
chr6	150368892	150405969	IYD	9.17247297656145	-0.9064182899334592	1.0528164501428101	-0.860946169496603	0.38926769156699204	1.0	1.0
chr6	142147162	142224685	VTA1	152.062529977381	-0.44047544805323996	0.5384833665491939	-0.8179926724124721	0.413361371393331	1.0	1.0
chr6	13621498	13711835	RANBP9	10.6938716401345	0.775020304789283	0.9183205972642541	0.8439539601944309	0.39869513325798206	1.0	1.0
chr6	36354091	36387800	ETV7	4.15198765089172	1.31574038031768	1.41860854983881	0.927486571589588	0.35367396069744805	1.0	1.0
