117_1	117_2	152_1	152_2
FUCA2	1.13175476395947	0	0	0
GCLC	17.4251331954005	16.2088997184336	29.7924221854898	23.5837586040148
NFYA	3.18712755688995	1.05342630552835	2.8122805683118	3.07132333080537
NIPAL3	0	0	0.484386698700525	0
ENPP4	162.611091249468	154.168854043099	17.7626057626242	31.6909600400945
AOC1	0	0	0.484386698700525	0.438760475829339
ICA1	0	0	0.874733773509696	0
CFLAR	0	0	0	0.877520951658678
SPPL2B	0	0	0	0.438760475829339
WDR54	0	0.709329582893762	0	0
IBTK	305.3852806613	413.036107756864	265.286687868394	331.174632576968
ZNF195	0	0	0	0.438760475829339
ZNF263	0	0	0.437366886754848	0
BAIAP2L1	0	1.76275588842211	0.484386698700525	0
ADIPOR2	0	0	0	0.438760475829339
TEAD3	33.734108361014	35.1993181640601	89.5183259923063	91.6128992038399
MYLIP	62.8397287543912	56.7387578230092	37.2604904930241	52.4129081844556
PSMB1	89.3189000614674	92.7454774495944	104.656730434401	99.1067461047973
JARID2	90.4181165593953	106.553308918078	30.7470070036471	35.2359626585878
NADK	0	0	0.437366886754848	0
MGST1	0	0	0.437366886754848	0
HEATR5B	0	0	0.484386698700525	0
CSDE1	0	0	0	0.438760475829339
REV3L	4.83142579123434	2.99879862408005	4.51472830338551	5.40480095738647
IYD	13.8854639029101	10.9417681907918	4.12438122857634	7.73827858396756
VTA1	158.790500462518	308.966721351384	59.5848443709795	80.9080537246428
RANBP9	8.4829618183052	6.15907754066509	17.7626057626242	10.3708414389436
ETV7	1.54282932254556	2.12798874868129	9.21753585455373	3.71959667778631
CD9	0	0	0.484386698700525	0
NCAPD2	0.565877381979734	0	0	0
HFE	11.8248921985888	17.1219818690815	2.32789386961127	3.71959667778631
FYN	2.36497843971776	0.526713152764174	3.20262764312097	5.00095929341573
HIVEP2	1.6976321459392	1.58013945829252	0.921753585455373	1.35120023934662
CLCN6	0	0.709329582893762	0	0
PIK3C2A	0	0	0	0.438760475829339
LDAF1	0	0	0.437366886754848	0
MVP	0	0	0	0.473679287687939
PGM3	3.75300493886968	2.28946904118628	4.03034160468499	1.82487952703456
GPRC5A	0.97695194056583	0.709329582893762	0	0.877520951658678
UFL1	15.2682914906712	8.10444985921679	46.4780263475778	43.2338570038981
IL20RA	53.0650104373421	51.6889061922545	210.672581341013	203.718498947363
RUFY3	0	0	0	0.473679287687939
VSIG2	0	0	0	0.438760475829339
ZFP64	0	0.709329582893762	0	0
SERPINB1	270.483025156591	0	200.942281629271	178.803274837528
RB1CC1	0.411074558586096	0.709329582893762	0	0
AKAP11	0.411074558586096	0	0	0
STRAP	0.411074558586096	0	0	0
DEF6	0.411074558586096	0.526713152764174	4.70280755116822	6.087993116226
UBR2	233.596836820736	241.429920068165	191.597874918124	237.358829683594
